OBJECTID,ACRES,ZPREFIX,ZCASE,ZREVISION,ZYEAR,SPPREFIX,SPCASE,SPREVISION,SPYEAR,ZONING,REDEFINE1,DATE_APPRO,LABEL1,ORD_NUM,HISTORIC,GEN_ZONE,INSERT_DATE,UPDATE_DATE,ANID,TOD
1409968,5.32571159,Z, , , , , , , ,C-1, , ,C-1, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72519, 
1409969,21.89738087,Z,137, ,99, , , , ,R-3A,Z-137-99,01-12-2000,R-3A PCD*, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72521, 
1409970,6.79528256,Z,44, ,21, , , , ,PUD,Z-44-21,2/02/2022,PUD*,G-6954, ,PUD,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72523, 
1409971,4.17393565,Z,12, ,18, , , , ,PUD,Z-12-18,7/5/2018,PUD,G-6481, ,PUD,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72524, 
1409972,1.08337429,Z,65, ,21, , , , ,C-1,Z-65-21,2/02/2022,C-1*,G-6953, ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72525, 
1409973,9.98626521,Z, , , , , , , ,C-2, , ,C-2, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72296, 
1409974,7.05431185,Z,61, ,09, , , , ,R1-10,Z-12-89,07/07/2010,R1-10 PRD*, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72297, 
1409975,0.35487679,Z, , , , , , , ,R-5, , ,R-5, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72298, 
1409976,2.59521264,Z,39, ,83, , , , ,R-2,Z-39-83, ,R-2*, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72299, 
1409977,1.5903933,Z,282, ,80, , , , ,IND.PK.,Z-182-80, ,IND.PK., , ,Industrial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72300, 
1409978,2.56870454,Z,83, ,88, , , , ,C-2,Z-83-88, ,C-2*, , ,Commercial,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72301, 
1409979,29.85750911,Z,103, ,88, , , , ,R1-10,Z-103-88, ,R1-10*, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72302, 
1409980,31.23413206,Z, , , , , , , ,RE-43, , ,RE-43, , ,SF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72303, 
1409981,3.34138595,Z, , , , , , , ,R-3, , ,R-3, , ,MF Residential,2023/04/17 20:31:07+00,2023/04/17 20:31:07+00,72304, 
