GLOBALID,OBJECTID,ZONE_TYPE,ZONE_TYPE_DECODE,HEIGHT,FRONTAGE,FRONTAGE_DECODE,CONDITIONAL,ZONING,ZN_CASE_NUM,ZN_CASE_SUFFIX,ZN_CASE_YEAR,ZONE_CASE,EFF_DATE,ORDINANCE,PLAN,PLAN_NAME,INTO_UDO,COND_LINK,SHAPEAREA,SHAPELEN
{99DAD4F5-533D-4E92-BD31-839DC41B2979},531356,NX-,Neighborhood Mixed Use,3,,,,NX-3,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,8653.32880676612,420.981893130148
{9A1FBFB3-F037-435B-944B-6468F0E29BF0},531357,OX-,Office Mixed Use,3,,,,OX-3,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,220005.463025908,2158.15539515474
{9A259709-02CB-49C0-8CEC-3898DEAAB21E},531358,R-6,Residential-6,,,,,R-6,43,,1993,Z-43-1993,1994/01/04 05:00:00+00,310ZC339,,,"20130901; TC-3-12; 151TC357",,128092.173284351,2649.83628486029
{9A379749-8C9D-494C-A029-BADB21A90CC7},531359,CM,Conservation Management,,,,,CM,6,,1985,Z-6-1985,1985/02/05 05:00:00+00,487ZC154,,,"20130901; TC-3-12; 151TC357",,780159.576096165,13970.2258188996
{9A5BF409-9CF2-4675-ADC0-23E68900FBE7},531360,R-1,Residential-1,,,,-CU,R-1-CU,16,,2002,Z-16-2002,2002/05/21 04:00:00+00,210ZC518,,,"20130901; TC-3-12; 151TC357",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-016-02-ORD.pdf,8867.3966981885,558.897361457949
{9AFB4524-F134-41B6-BE8A-E4271F872A7A},531361,OX-,Office Mixed Use,3,-PL,Parking Limited,,OX-3-PL,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,18378.1823831433,568.566442066258
{9B1C8C39-B4AF-45E5-9DF8-DF22A2636118},531362,R-6,Residential-6,,,,,R-6,66,,1982,Z-66-1982,,,,,"20130901; TC-3-12; 151TC357",,737511.561986758,4233.77596876973
{9B791AEF-4F39-40BC-B8CA-56429144B32F},531363,AP,Agricultural Productive,,,,,AP,,,,,,,,,"20130901; TC-3-12; 151TC357",,19730.2471226803,640.362984417186
{9B8C678B-86A8-4735-ACA6-255B20CA704D},531364,R-10,Residential-10,,,,,R-10,,,,,,,,,"20130901; TC-3-12; 151TC357",,206458.647630539,2252.13587223673
{9D165FE7-630D-47BF-BB90-3860A199EA24},531365,OX-,Office Mixed Use,3,-PL,Parking Limited,-CU,OX-3-PL-CU,9,,2000,Z-9-2000,2000/05/16 04:00:00+00,798ZC480,,,"20160214; Z-27B-14; 523ZC721",https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-009-00-ORD.pdf,260273.917729303,2250.41714105052
{9D8FDB4E-3765-460D-AD68-5485048DE144},531366,R-10,Residential-10,,,,,R-10,98,,1984,Z-98-1984,1984/08/07 04:00:00+00,391ZC144,,,"20130901; TC-3-12; 151TC357",,3865863.73368819,11405.874439973
{9E258150-0DD2-433C-A63B-9E79164C2111},531367,R-6,Residential-6,,,,,R-6,,,,,,,,,"20130901; TC-3-12; 151TC357",,233149.009591969,3077.30203864432
{9E428FD0-25F2-4C4F-8CE4-CB411828D087},531368,OX-,Office Mixed Use,5,-UL,Urban Limited,,OX-5-UL,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,228380.718128852,2509.79827782576
{9E44A3A3-7770-4243-B0E8-AD13EF80142A},531369,OX-,Office Mixed Use,7,,,,OX-7,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,546908.190184427,4065.884785514
{9E58E5E7-4138-4AD3-9BF6-E1AF39D14A07},531370,IX-,Industrial Mixed Use,3,-PL,Parking Limited,,IX-3-PL,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,1422964.06221373,7267.79575500381
{9E918C48-E608-4448-B39D-8577F1C39CFE},531371,DX-,Downtown Mixed Use,40,,,-CU,DX-40-CU,54,,2020,Z-54-2020,2021/07/06 04:00:00+00,261ZC824,,,Rezoned after Citywide Rezoning,https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/Z-054-20-ORD.pdf,57668.5553989329,980.521629616613
{9ECCBF00-7111-42AE-B096-E015B63C9124},531372,RX-,Residential Mixed Use,3,,,,RX-3,27,B,2014,Z-27B-2014,2016/02/14 05:00:00+00,523ZC721,,,"20160214; Z-27B-14; 523ZC721",,1177404.21235295,5441.19231879574
