OBJECTID,ZONING,ZONE_ORD,PERIMETER,ACRES,ZONE_TYPE,DIS_NAME,ORD_NUMBER,OWNER
49506,ML-T,199-2024,14160.201,48.929,ML-T,SOUTH CUMMINSVILLE,0199-2024,CPE
49507,CC-A-T,199-2024,3136.71,3.917,CC-A-T,AVONDALE,0199-2024,CPE
49508,CC-M-T,199-2024,2532.865,4.089,CC-M-T,SOUTH FAIRMOUNT,0199-2024,CPE
49509,SF-6-T,199-2024,2128.742,5.71,SF-6-T,SOUTH FAIRMOUNT,0199-2024,CPE
49510,SF-20-T,199-2024,1573.835,3.598,SF-20-T,MOUNT ADAMS,0199-2024,CPE
49511,RM-0.7-T,199-2024,537.938,0.403,RM-0.7-T,MOUNT ADAMS,0199-2024,CPE
49512,OL-T,199-2024,1392.051,2.118,OL-T,WESTWOOD,0199-2024,CPE
49513,RM-1.2-T,199-2024,5324.905,16.734,RM-1.2-T,MOUNT AUBURN,0199-2024,CPE
49514,SF-4-T,199-2024,1838.602,3.991,SF-4-T,WESTWOOD,0199-2024,CPE
49515,OL-T,199-2024,2956.531,5.169,OL-T,AVONDALE,0199-2024,CPE
49516,SF-2-T,199-2024,6445.093,19.154,SF-2-T,MOUNT AUBURN,0199-2024,CPE
49517,RM-2.0-T,199-2024,6398.182,29.453,RM-2.0-T,ROSELAWN,0199-2024,CPE
49518,OG-T,199-2024,2406.324,3.126,OG-T,MOUNT ADAMS,0199-2024,CPE
49519,CN-P-T,199-2024,2650.242,3.633,CN-P-T,PENDLETON,0199-2024,CPE
49520,SF-2-T,199-2024,8622.603,38.328,SF-2-T,WEST END,0199-2024,CPE
49521,RM-2.0-T,199-2024,1822.017,3.419,RM-2.0-T,PADDOCK HILLS,0199-2024,CPE
49522,CC-M-T,199-2024,6484.037,16.994,CC-M-T,NORTHSIDE,0199-2024,CPE
49523,ML-T,199-2024,1433.557,2.317,ML-T,WEST END,0199-2024,CPE
49524,CC-M-T,199-2024,932.91,1.208,CC-M-T,WESTWOOD,0199-2024,CPE
49525,CC-M-T,199-2024,3087.143,7.7,CC-M-T,NORTHSIDE,0199-2024,CPE
49526,SF-6-T,199-2024,8385.76,24.472,SF-6-T,NORTHSIDE,0199-2024,CPE
49527,SF-20-T,199-2024,1680.836,2.972,SF-20-T,MOUNT ADAMS,0199-2024,CPE
49528,SF-6-T,199-2024,3888.961,7.047,SF-6-T,CLIFTON,0199-2024,CPE
49529,SF-4-T,199-2024,5216.515,20.475,SF-4-T,AVONDALE,0199-2024,CPE
49530,SF-2-T,199-2024,6229.137,23.602,SF-2-T,CUF,0199-2024,CPE
49531,RM-0.7-T,199-2024,3335.159,6.357,RM-0.7-T,PENDLETON,0199-2024,CPE
49532,RMX-T,199-2024,798.483,0.732,RMX-T,EAST WALNUT HILLS,0199-2024,CPE
49533,RM-1.2-T,199-2024,4709.533,9.825,RM-1.2-T,PADDOCK HILLS,0199-2024,CPE
49534,ME-T,199-2024,7698.046,55.107,ME-T,BOND HILL,0199-2024,CPE
49535,RMX-T,199-2024,3280.624,4.405,RMX-T,COLLEGE HILL,0199-2024,CPE
49536,OL-T,199-2024,3006.591,4.366,OL-T,WESTWOOD,0199-2024,CPE
49537,RM-0.7-T,199-2024,226.341,0.058,RM-0.7-T,MOUNT AUBURN,0199-2024,CPE
49538,ML-T,199-2024,9289.865,51.696,ML-T,WALNUT HILLS,0199-2024,CPE
49539,RMX-T,199-2024,7405.771,16.841,RMX-T,EAST PRICE HILL,0199-2024,CPE
49540,RM-1.2-T,199-2024,12673.785,40.458,RM-1.2-T,NORTH AVONDALE,0199-2024,CPE
49541,RMX-T,199-2024,3888.51,11.308,RMX-T,COLLEGE HILL,0199-2024,CPE
49542,SF-4-T,199-2024,26626.927,262.853,SF-4-T,EAST PRICE HILL,0199-2024,CPE
49543,RM-1.2-T,199-2024,9676.532,30.376,RM-1.2-T,SOUTH FAIRMOUNT,0199-2024,CPE
49544,CC-A-T,199-2024,3574.991,11.37,CC-A-T,CORRYVILLE,0199-2024,CPE
49545,RM-0.7-T,199-2024,4797.119,9.506,RM-0.7-T,MOUNT AUBURN,0199-2024,CPE
49546,CG-A-T,199-2024,11124.008,84.504,CG-A-T,QUEENSGATE,0199-2024,CPE
49547,RM-1.2-T,199-2024,8929.988,19.186,RM-1.2-T,CUF,0199-2024,CPE
49548,CG-A-T,199-2024,10315.766,82.017,CG-A-T,WESTWOOD,0199-2024,CPE
49549,RM-1.2-T,199-2024,2338.676,4.121,RM-1.2-T,WESTWOOD,0199-2024,CPE
49550,CC-A-T,199-2024,1572.391,2.234,CC-A-T,AVONDALE,0199-2024,CPE
49551,SF-10-T,199-2024,8970.519,41.284,SF-10-T,HYDE PARK,0199-2024,CPE
49552,SF-10-T,199-2024,1468.119,2.909,SF-10-T,HYDE PARK,0199-2024,CPE
49553,RM-1.2-T,199-2024,874.208,1.004,RM-1.2-T,CORRYVILLE,0199-2024,CPE
49554,ML-T,199-2024,3323.903,13.71,ML-T,ROSELAWN,0199-2024,CPE
49555,CC-P-T,199-2024,1881.096,2.525,CC-P-T,OVER-THE-RHINE,0199-2024,CPE
49556,SF-20-T,199-2024,7180.509,30.886,SF-20-T,HYDE PARK,0199-2024,CPE
49557,RM-0.7-T,199-2024,1328.868,2.169,RM-0.7-T,CUF,0199-2024,CPE
49558,CC-M-T,199-2024,546.897,0.403,CC-M-T,CORRYVILLE,0199-2024,CPE
49559,RM-0.7-T,199-2024,1374.11,2.42,RM-0.7-T,CORRYVILLE,0199-2024,CPE
49560,CN-P-T,199-2024,4038.433,10.322,CN-P-T,OVER-THE-RHINE,0199-2024,CPE
49561,SF-6-T,199-2024,2562.593,7.362,SF-6-T,EAST WESTWOOD,0199-2024,CPE
49562,CN-P-T,199-2024,260.107,0.06,CN-P-T,CORRYVILLE,0199-2024,CPE
49563,CC-P-T,199-2024,1569.675,1.75,CC-P-T,OVER-THE-RHINE,0199-2024,CPE
49564,CC-P-T,199-2024,2164.314,4.535,CC-P-T,OVER-THE-RHINE,0199-2024,CPE
49565,CN-M-T,199-2024,1293.265,1.469,CN-M-T,HEIGHTS,0199-2024,CPE
49566,RM-0.7-T,199-2024,1263.747,2.152,RM-0.7-T,EVANSTON,0199-2024,CPE
49567,T5MS-O-P,199-2024,1221.765,1.724,T5MS-O-P,MADISONVILLE,0199-2024,CPE
49572,T5MS-P,199-2024,2512.395,7.551,T5MS-P,MADISONVILLE,0199-2024,CPE
49575,T3N-P,199-2024,6797.602,34.528,T3N-P,MADISONVILLE,0199-2024,CPE
49576,T3N-P,199-2024,4266.648,14.671,T3N-P,MADISONVILLE,0199-2024,CPE
49577,T3N-P,199-2024,5726.736,19.376,T3N-P,MADISONVILLE,0199-2024,CPE
49578,T5MS-O-P,199-2024,1581.992,3.338,T5MS-O-P,MADISONVILLE,0199-2024,CPE
49579,T5MS-O-P,199-2024,2201.86,4.186,T5MS-O-P,MADISONVILLE,0199-2024,CPE
49580,T5MS-O-P,199-2024,619.936,0.538,T5MS-O-P,MADISONVILLE,0199-2024,CPE
49585,T4N.SF-P,199-2024,2295.111,3.404,T4N.SF-P,MADISONVILLE,0199-2024,CPE
49586,T4N.SF-P,199-2024,1329.683,2.13,T4N.SF-P,MADISONVILLE,0199-2024,CPE
49587,RM-1.2-T,199-2024,3643.525,11.147,RM-1.2-T,MADISONVILLE,0199-2024,CPE
49588,T3E-P,199-2024,2239.686,6.415,T3E-P,COLLEGE HILL,0199-2024,CPE
49591,T5N.LS-P,199-2024,3247.688,8.706,T5N.LS-P,COLLEGE HILL,0199-2024,CPE
49592,T5MS-P,199-2024,2292.66,5.247,T5MS-P,COLLEGE HILL,0199-2024,CPE
49593,T5MS-O-P,199-2024,2112.349,3.931,T5MS-O-P,COLLEGE HILL,0199-2024,CPE
49594,T3N-P,199-2024,2257.809,4.258,T3N-P,COLLEGE HILL,0199-2024,CPE
49595,T4N.MF-P,199-2024,1765.337,2.683,T4N.MF-P,COLLEGE HILL,0199-2024,CPE
49596,T3E-P,199-2024,2693.736,4.864,T3E-P,COLLEGE HILL,0199-2024,CPE
49597,T3E-P,199-2024,2220.874,4.704,T3E-P,COLLEGE HILL,0199-2024,CPE
49598,T3E-P,199-2024,1335.167,2.06,T3E-P,COLLEGE HILL,0199-2024,CPE
49599,T3E-P,199-2024,3912.412,11.331,T3E-P,COLLEGE HILL,0199-2024,CPE
49604,T5N.LS-P,199-2024,1628.342,3.507,T5N.LS-P,COLLEGE HILL,0199-2024,CPE
49605,T5MS-P,199-2024,3248.465,8.868,T5MS-P,COLLEGE HILL,0199-2024,CPE
49606,T5MS-O-P,199-2024,2564.657,5.191,T5MS-O-P,COLLEGE HILL,0199-2024,CPE
49607,T3N-P,199-2024,3511.903,8.231,T3N-P,COLLEGE HILL,0199-2024,CPE
49608,T4N.MF-P,199-2024,10482.656,36.34,T4N.MF-P,COLLEGE HILL,0199-2024,CPE
49609,T4N.MF-P,199-2024,1492.305,2.005,T4N.MF-P,COLLEGE HILL,0199-2024,CPE
49610,T4N.MF-P,199-2024,714.258,0.713,T4N.MF-P,COLLEGE HILL,0199-2024,CPE
49611,T4N.MF-P,199-2024,3660.513,6.544,T4N.MF-P,COLLEGE HILL,0199-2024,CPE
49612,T4N.MF-P,199-2024,4737.925,19.539,T4N.MF-P,COLLEGE HILL,0199-2024,CPE
49613,T4N.SF-P,199-2024,3241.935,8.609,T4N.SF-P,WALNUT HILLS,0199-2024,CPE
49614,T5N.LS-P,199-2024,3800.891,8.038,T5N.LS-P,WALNUT HILLS,0199-2024,CPE
49617,T5MS-P,199-2024,4827.54,12.958,T5MS-P,WALNUT HILLS,0199-2024,CPE
49618,T5N.SS-P,199-2024,1316.631,2.302,T5N.SS-P,WALNUT HILLS,0199-2024,CPE
49621,T4N.SF-P,199-2024,7096.295,28.506,T4N.SF-P,WALNUT HILLS,0199-2024,CPE
49622,T4N.SF-P,199-2024,6373.62,28.079,T4N.SF-P,WALNUT HILLS,0199-2024,CPE
49623,T5F-P,199-2024,6798.948,18.55,T5F-P,WALNUT HILLS,0199-2024,CPE
49624,T3N-P,199-2024,4711.335,18.178,T3N-P,WESTWOOD,0199-2024,CPE
49627,T5MS-P,199-2024,2057.287,2.793,T5MS-P,WESTWOOD,0199-2024,CPE
49628,T4N.MF-P,199-2024,3439.919,6.012,T4N.MF-P,WESTWOOD,0199-2024,CPE
49631,T5MS-O-P,199-2024,781.557,0.873,T5MS-O-P,WESTWOOD,0199-2024,CPE
49632,T3E-P,199-2024,1780.189,3.47,T3E-P,WESTWOOD,0199-2024,CPE
49633,T5MS-O-P,199-2024,1078.827,1.428,T5MS-O-P,WESTWOOD,0199-2024,CPE
49641,T3N-P,199-2024,5585.084,19.866,T3N-P,WESTWOOD,0199-2024,CPE
49642,T4N.MF-P,199-2024,639.841,0.606,T4N.MF-P,WESTWOOD,0199-2024,CPE
49643,T4N.MF-P,199-2024,2752.826,4.919,T4N.MF-P,WESTWOOD,0199-2024,CPE
49644,T5MS-P,199-2024,2409.247,3.909,T5MS-P,WESTWOOD,0199-2024,CPE
49645,RM-0.7-T,199-2024,623.446,0.559,RM-0.7-T,NORTHSIDE,0199-2024,CPE
49646,CN-M-T,199-2024,1918.218,4.198,CN-M-T,MILLVALE,0199-2024,CPE
49647,CC-P-T,199-2024,669.721,0.35,CC-P-T,WEST PRICE HILL,0199-2024,CPE
49648,CC-A-T,199-2024,815.412,0.577,CC-A-T,EVANSTON,0199-2024,CPE
49649,CC-P-T,199-2024,1609.371,3.236,CC-P-T,AVONDALE,0199-2024,CPE
49650,CC-P-T,199-2024,3504.816,7.301,CC-P-T,AVONDALE,0199-2024,CPE
49651,CC-P-T,199-2024,2340.187,4.417,CC-P-T,AVONDALE,0199-2024,CPE
49652,RM-0.7-T,199-2024,673.625,0.594,RM-0.7-T,OVER-THE-RHINE,0199-2024,CPE
49653,CC-P-T,199-2024,1657.278,3.18,CC-P-T,OVER-THE-RHINE,0199-2024,CPE
