OBJECTID,ZONECLASS,ZONEDESC,BASEELEV,HEIGHT,LASTUPDATE,LASTEDITOR,SPI,SUBAREA,TSA,STATUS,CASEIN,CASEOUT,SUNRISE,SUNSET,CREATEDATE,CREATEDBY,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,ACRES,ZONING,EDITTED,REFERENCE,SHAPE_Area,SHAPE_Length
12259,RG-2-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH8REGEDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{A8A71F30-617F-44B2-BBCE-97F604658E3D},0.19340203,RG-2-C, ,R887,8424.55853536539,415.837487341713
12260,I-1-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH16LIINDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{5B7E62F0-CBC0-410F-B487-15075A53B7D5},2.86316151,I-1-C, ,R475,124718.816422258,1511.82813761623
12261,C-1-C,"https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE
",0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{E224DB2C-C282-46E5-B5A5-CD78B2A4E55F},0.17758864,C-1-C, ,R1984,7735.73035272465,413.769816878816
12262,PD-MU,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH19BPLDEIXUSDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{C8B36E34-36F8-49DA-8DDD-662D1AA14CEA},2.46675791,PD-MU, ,R2149,107451.544784978,1408.48958584723
12263,C-2-C,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH12COSEDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{D2DE1574-B96E-477E-AAE9-3BCA0AFE49C1},0.30189221,C-2-C, ,R215,13150.3719453598,467.38586607013
12264,R-4,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH6SIMIREDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{5173BC63-C83C-4F71-9E38-DE2A99EA30B1},83.504358,R-4, ,R3322,3637435.28473614,14730.6611655024
12265,C-1-C,"https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE
",0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{8E40F7AD-F298-4898-A02A-24C64A32739E},6.00893241,C-1-C, ,R1921,261748.048624883,2082.16051000555
12266,C-1,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{91CBF49A-79ED-4D26-AE86-EB8C069BE9F0},4.71443263,C-1, ,R1284,205359.863833644,2198.0885263863
12267,C-1-C,"https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH11COBUDIRE
",0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{4386E2DA-F13C-4091-9342-1B3E0DDC3168},0.94457566,C-1-C, ,R2669,41145.5511864456,856.548376023739
12268,RG-3,https://library.municode.com/ga/atlanta/codes/code_of_ordinances?nodeId=PTIIICOORANDECO_PT16ZO_CH8REGEDIRE,0,0,, , , , ,Current, , ,1900/01/01 00:00:00+00,2999/12/31 00:00:00+00,, ,GIS,2018/04/19 00:00:00+00,GIS,2020/07/25 00:00:00+00,{59C45C4F-6C21-4E21-8A84-924DB2B5C001},84.61776895,RG-3, ,R1657,3685935.27153131,11218.9605315013
