OBJECTID,ZCODE_VERSION,ZONE_DESCRIPTION,NBHD_CONTEXT,ZONE_DISTRICT_GROUP,ZONE_USE_FORM,ZONE_DISTRICT,ZONE_DIST_TYPE,OVERLAY_DISTRICT,WAIVERS,CONDITIONS,PUD_NUM,PUD_STD_ZONE_DIST,ORD_NUM,ORD_YEAR,PBG,NOTES,PUD_DOCUMENT,GLOBALID,HEIGHT_STORIES,ADU,Shape_Area,Shape_Length
18170,2010,Residential Mixed Use  (RX),URBAN CENTER,C-RX,RX,C-RX-8,Residential,,,,,,366,2018,, ,NA.pdf,90179308-5d3c-4804-adb9-da914d937a88,8,Yes,41299.70703,830.3960891
18171,2010,Main Street  (MS),URBAN,U-MS,MS,U-MS-3,Commercial Mixed Use,DO-8,,,,,5,2023,,,NA.pdf,90725431-077f-4bc4-86c4-ebf3f01f4e5b,3,Yes,26178.03564,653.8267136
18172,2010,"Multi Unit  (MU, RH, RO)",SUBURBAN,S-MU,MU,S-MU-3,Residential,,,,,,333,2010,,,NA.pdf,90e6d60d-9094-433f-a229-730bb02aa777,3,Yes,153567.04,1661.617857
18173,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-3A,Residential,UO-3,,,,,333,2010,,,NA.pdf,90ed273b-30d6-45a7-b257-da795c5a6fc7,3,Yes,636400.1631,3982.059171
18174,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-2.5,Residential,,,,,,333,2010,,,NA.pdf,90f04802-dd59-4087-8766-820a4eaf7271,2.5,Yes,1799812.566,5877.349256
18175,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-3A,Residential,,,,,,40,2016,,,NA.pdf,911f83d5-0e7c-4a25-a446-7a7fe88cc80d,3,Yes,22968.24902,607.9136962
18176,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-2.5,Residential,,,,,,333,2010,,,NA.pdf,918d5449-0fa6-4636-bfbd-20c247daf0e1,2.5,Yes,605292.3198,4741.808406
18177,2010,"Multi Unit  (MU, RH, RO)",MASTER PLAN,M-RH,RH,M-RH-3,Residential,,,,,,333,2010,,,NA.pdf,920c01d6-4d56-406a-b71d-fad8c3036b48,3,Yes,498051.9404,2826.835256
18178,2010,"Downtown  (AS, C, CPV, GT, LD, TD)",DOWNTOWN,D-C,999,D-C,Commercial Mixed Use,UO-1,,,,,333,2010,,,NA.pdf,9272c064-8fc3-4218-bf42-9837d9098158,,Yes,10736888.01,23047.62417
18179,2010,"Mixed Use  (MX, M-GMX)",URBAN CENTER,C-MX,MX,C-MX-5,Commercial Mixed Use,"UO-2, DO-7",,,,,17,2018,,,NA.pdf,92991b6f-e331-4af4-9eb5-905f0d4ad27d,5,Yes,57815.86182,1159.627695
18180,2010,"Multi Unit  (MU, RH, RO)",URBAN,U-RH,RH,U-RH-2.5,Residential,UO-3,,,,,333,2010,,,NA.pdf,92a98a66-8af9-46b6-bb9a-eedbee697ad7,2.5,Yes,16718.98633,532.8719474
18181,2010,"Industrial - Mixed Use  (I-MX, M-IMX)",SPECIAL INDUSTRIAL,I-MX,MX,I-MX-5,Commercial Mixed Use,UO-2,,,,,17,2021,,Commercial MU per definitions in code,NA.pdf,92f0cb83-55f9-4f28-bfd6-aa8c0f3dfd48,5,Yes,44154.93457,858.7613396
18182,1956,Former Chapter 59 Zone,,,999,R-MU-30,Residential,,WVRS,*,,,162,2002,,,NA.pdf,930d6d9c-ad2d-4935-95ab-0464479a72a2,,Yes,23871.72852,622.8473145
18183,2010,"Multi Unit  (MU, RH, RO)",GENERAL URBAN,G-MU,MU,G-MU-3,Residential,UO-3,,,,,333,2010,,,NA.pdf,93f3c038-ebdf-498b-bd36-59f60aebad3b,3,Yes,971813.6494,5683.787549
